subject,time,system,task,accurate,damage,enrolled,semesters,list
AX1,33.862,H,1_gag,1,1,1,1.0,E1
AX1,24.725,H,0_ziz2,1,0,1,1.0,E1
AX1,89.501,H,0_sig2+munus,1,0,1,1.0,E1
AX1,84.936,H,3_sa5,1,3,1,1.0,E1
AX1,102.619,H,3_mac2,1,3,1,1.0,E1
AX1,43.063,H,2_dugud,1,2,1,1.0,E1
AX1,69.097,H,0_kac4,0,0,1,1.0,E1
AX1,27.058,H,0_kiri6,1,0,1,1.0,E1
AX1,166.973,H,0_cudun3,1,0,1,1.0,E1
AX1,65.676,H,2_gada,0,2,1,1.0,E1
AX1,54.562,H,1_tur,1,1,1,1.0,E1
AX1,43.777,H,0_gur,1,0,1,1.0,E1
AX1,78.338,H,0_nita2,1,0,1,1.0,E1
AX1,52.658,H,2_nag,1,2,1,1.0,E1
AX1,31.976,H,2_gir3,1,2,1,1.0,E1
AX1,97.784,H,4_6,1,4,1,1.0,E1
AX1,99.906,Z,1_ama,1,1,1,1.0,E2
AX1,177.665,Z,0_sanga,1,0,1,1.0,E2
AX1,108.729,Z,0_pu2,1,0,1,1.0,E2
AX1,116.566,Z,0_ca3,1,0,1,1.0,E2
AX1,83.066,Z,2_urudu,1,2,1,1.0,E2
AX1,163.56,Z,3_inanna,0,3,1,1.0,E2
AX1,70.056,Z,1_gal,0,1,1,1.0,E2
AX1,105.404,Z,2_gig,1,2,1,1.0,E2
AX1,103.596,Z,0_sipa,1,0,1,1.0,E2
AX1,284.895,Z,2_duh,0,2,1,1.0,E2
AX1,116.501,Z,3_sir3,1,3,1,1.0,E2
AX1,247.715,Z,0_hub,1,0,1,1.0,E2
AX1,127.919,Z,4_tu7,1,4,1,1.0,E2
AX1,152.686,Z,0_kid,1,0,1,1.0,E2
AX1,70.136,Z,0_dam,1,0,1,1.0,E2
AX1,269.227,Z,2_alam,1,2,1,1.0,E2
PBE,11.001,H,0_ca3,1,0,0,2.0,P2
PBE,15.51,H,0_dam,1,0,0,2.0,P2
PBE,38.926,H,0_hub,1,0,0,2.0,P2
PBE,23.146,H,0_kid,1,0,0,2.0,P2
PBE,18.996,H,0_pu2,1,0,0,2.0,P2
PBE,30.345,H,0_sanga,1,0,0,2.0,P2
PBE,25.213,H,0_sipa,1,0,0,2.0,P2
PBE,30.952,H,1_ama,1,1,0,2.0,P2
PBE,13.802,H,1_gal,1,1,0,2.0,P2
PBE,21.285,H,2_alam,1,2,0,2.0,P2
PBE,15.213,H,2_duh,1,2,0,2.0,P2
PBE,33.561,H,2_gig,1,2,0,2.0,P2
PBE,29.566,H,2_urudu,1,2,0,2.0,P2
PBE,23.41,H,3_inanna,1,3,0,2.0,P2
PBE,57.832,H,3_sir3,1,3,0,2.0,P2
PBE,35.114,H,4_tu7,1,4,0,2.0,P2
PBE,127.998,Z,0_cudun3,0,0,0,2.0,P1
PBE,50.56,Z,0_gur,1,0,0,2.0,P1
PBE,119.495,Z,0_kac4,1,0,0,2.0,P1
PBE,49.005,Z,0_kiri6,1,0,0,2.0,P1
PBE,34.586,Z,0_nita2,1,0,0,2.0,P1
PBE,299.513,Z,0_sig2+munus,1,0,0,2.0,P1
PBE,137.6,Z,0_ziz2,1,0,0,2.0,P1
PBE,90.867,Z,1_gag,1,1,0,2.0,P1
PBE,63.555,Z,1_tur,1,1,0,2.0,P1
PBE,51.16,Z,2_dugud,1,2,0,2.0,P1
PBE,126.221,Z,2_gada,1,2,0,2.0,P1
PBE,55.567,Z,2_gir3,1,2,0,2.0,P1
PBE,57.529,Z,2_nag,1,2,0,2.0,P1
PBE,154.003,Z,3_mac2,1,3,0,2.0,P1
PBE,90.721,Z,3_sa5,1,3,0,2.0,P1
PBE,83.872,Z,4_6,1,4,0,2.0,P1
BY3,283.818,Z,3_sag,1,3,1,8.0,E3
BY3,523.918,Z,3_zag,1,3,1,8.0,E3
BY3,14.783,Z,2_e2,1,2,1,8.0,E3
BY3,12.508,Z,4_dub,1,4,1,8.0,E3
BY3,99.377,Z,0_zu9,1,0,1,8.0,E3
BY3,62.661,Z,0_gu4,1,0,1,8.0,E3
BY3,35.969,Z,2_mec,1,2,1,8.0,E3
BY3,54.773,Z,1_2,1,1,1,8.0,E3
BY3,68.728,Z,0_elam,1,0,1,8.0,E3
BY3,111.62,Z,2_lal3,1,2,1,8.0,E3
BY3,70.196,Z,0_ezen4,1,0,1,8.0,E3
BY3,309.621,Z,2_dug,0,2,1,8.0,E3
BY3,193.926,Z,0_sa,1,0,1,8.0,E3
BY3,57.071,Z,0_bal,1,0,1,8.0,E3
BY3,54.796,Z,0_hur,1,0,1,8.0,E3
BY3,84.019,Z,1_iku,1,1,1,8.0,E3
BY3,56.585,S,4_tu7,1,4,1,8.0,E2
BY3,107.454,S,2_alam,1,2,1,8.0,E2
