Subject,Currently enrolled in Hittite,Semesters taken (including current),Outside experience,"Familiarity with V, CV, VC",Familiarity with CVC,Familiarity with logograms,Familiarity with the Zeichenlexikon,Familiarity with Hantatallas,Can read German,Other information,H Difficult to use,H Tiring to use,H Certain of answers,H Easiest aspects,H Worst aspects,H Suggested improvements,H Other information,Z Difficult to use,Z Tiring to use,Z Certain of answers,Z Easiest aspects,Z Worst aspects,Z Suggested improvements,Z Other information
PAE,No,4,"Yes, research.",I can recognize them without a chart. I can also find them with a chart.,Need a chart for many.,I know a few by memory.,Very familiar.,Very familiar.,A little,,2,1,2,"Mastering the basic strokes (h v, d, etc.)","Paying attention to the wrong details, e.g., if one stroke was shorter than the other, and trying to code it even if it wasn't necessary for decipherment.","A longer training session with basic signs first, then getting more difficult, perhaps production-focused: ""Make this sign"", to get to know the mechanics of Hantatallas better.","Some of the aesthetic options may not be used (or necessary) for the experiment. Should they be included in the experiment, even though they are great for more experienced users?",4,5,4,Working with characters that were damaged on the right side,"Working with characters that were damaged on the left side, differentiating different signs that started with two horizontal strokes.",A table organized by right side of character,
PBE,No,2,Working on this project,Quite. Yes and yes.,Very little.,"Very little, except for a handful of common ones.",Quite.,I built it.,Not enough.,I built the system.,1,1,2,Using the canvas,Figuring out which parts to focus on,More flexibility in matching,Nope,3,4,1,Recognizing the signs in the index once I'd found them,Searching through the index when I couldn't figure out what pattern of leftmost strokes it wanted (or when I had no clear leftmost strokes),An index at the beginning showing stroke patterns and which page they begin on,Nope
PA1,No,1,No,"I could about a year ago when I took the class and have not tried since. If I have a chart, I think I will be able to find them quickly.","Again, haven't tried in a while, but can find them using a chart.","I vaguely remember the concept of logograms, but am not experienced with recognizing them.","That name sounds familiar, but I believe that I never used the resource.",I used that a few times during my time in LING199.,No,I was in LING199 (Hittite Language and Culture) with Prof. Shosted in Spring 2021.,2,2,4,This system is very easy to use when there are only a few elements in the sign.,Positioning elements in the right places. I am sometimes unsure how to produce the positioning I want using the syntax available.,I think a drag and drop feature for placing sign elements on a canvas could be useful for signs that have complex positioning.,I think it is a great system. Potentially adding real pictures to each entry could make the user more certain of their identification.,3,4,3,When the signs started with a rarer beginning like a winklehacken this was an easy system to use.,"When a sign was similar to the one being identified, other similar signs weren't necessarily right next to it. In addition, it was sometimes hard when the beginning of the sign was unclear or damaged.","More organization schemes where signs could be listed multiple times. For example, it could list signs by the left-most stoke and then in another section sort by right-most stroke to help identify damaged/unclear signs.",This system is much more frustrating because it involves scrolling through and looking at many signs that aren't even close to the one you are looking for.
PB1,No,1,no,"I can find them on a chart, but I can only recognize a few V signs without one.",I do not remember much at all.,not familiar,I remember talking about them in class and how to generally use them.,It would come back to me fairly quickly once I use it again.,no,no,2,3,3,Formatting the strokes was pretty straightforward.,Trying different combinations of signs and figuring out differences between strokes.,A sketchpad that converts your drawing to possible signs would be pretty cool.,None,4,5,3,Sorting by the left-most sign.,Figuring out the organizational patterns and not being able to only search for parts of signs.,More clear ways to order the signs or smaller categories.,
PA2,no,1,no,I can recognize them with a chart with a general refresher,I can recognize them with a chart with a general refresher,I can recognize them with a chart with a general refresher,I have heard of it and used it (or a similar tool) briefly,brief ,minimal,no,3,4,2,Strokes stacked or next to each other were easy to find.  I also liked how you could sort the signs that matched by complexity or frequency. ,"Trying to remember the coding language was a bit difficult/draining, but gets easier as you go on.  Also, it was difficult when no signs came up, even though the rendering looked like a sign.  ","This system could have a more approachable/welcoming visual interface, which would make it look less technical and less intimidating. Also, the search results could be adjusted a bit to include ""could be"" signs when no results match the specific code sequence (for example, signs with all but 1 of the code as the same).","I used this regularly when I took LING 199, so I was more familiar with it than noted in the pre survey - I had forgotten what it was called.  ",2,5,3,"It was helpful to see so many images, and to see similar images to the sign I was looking for and compare them","There were so many signs to go through, and such slight differences, that it was exhausting and took forever to find the correct sign.  Also, it didn't work when the left side was incomplete or missing. ",Being able to click a link to the number from the sign would have made this way easier than scrolling through,"I really like how many images there are, and feel the ""realistic"" look of the images helped me be a bit more accurate and confident in my answers"
PB2,No,2,"No, just at the University of Illinois.","Probably ok with a chart, too rusty to recognize without a chart.",Need a chart for sure. ,Need a chart.,"Assuming the searchable version, fairly famliar.",Not very.,A little (around intermediate level),n/a,3,4,3,"Identifying the parts I was confident in in terms of stroke type, matching the signs/strokes to the search results.","Had a pretty big learning curve getting comfortable with the formulae, and I really wouldn't have survived without the real-time graph updates and the debugging tips. Another thing that also affected my overall confidence in identifications was the possibility of different code combinations that looked similar having different search results.","1. Perhaps having a filter of left/right side would help for some larger signs? For example, sometimes I could see something like a 'pa' on the right half of the sign, but I'd have to scroll until I saw results that had it there.

2. Not sure if this is statistically possible, but maybe having suggestions of other code combinations that kind of look like what I put in would be helpful too. ",n/a,3,3,4,The Winkelhaken section of the table in particular worked great. The handwritten style also made some signs easy to spot.,"It was a lot of scrolling and loading, and the indexing sequence in the table took some getting used to (I had to remember that the signs weren't organized in terms of complexity).","Definitely a key/table of contents that shows how the Table is organized (e.g., single horizontal >> double horizontal but top short >> etc,), and it would be great if there was a way to skip to sign numbers just by clicking it.","I actually found some signs by trying to find combinations on the right side, or the end of the sign. The indexing in the table became less effective when I did that, but it could still narrow things down a little most of the time."
AX1,yes,1,no,"I can generally recognise them without much trouble without the help of a chart, though sometimes I make mistakes","I'm less familiar with CVC signs, and can recognise about half of them without a chart.",I am familiar with only a handful of logograms.,"I have not used sign lists before, except for a couple of times in the Introduction to Hittite sign list while doing assignments.",I have used the Hantatallas system a few times while doing transliteration experiments,No,No,2,2,4,"I liked that there was a recommendation system, where a lot of signs were listed out","Distinguishing between c and d/h signs was sometimes difficult, and sometimes the signs weren't easy to map out with the provided language - though partial matching was a godsend",N/A,,4,5,3,"Once the sign was found, it was easy to jump to the entry","Identifying the sign itself, especially when it was damaged or complex, or otherwise hard to identify the first stroke(s)",If the signs were ordered within the categorisations in a finer way,
BY1,yes,1,no,"decently familiar. generally recognizable without a chart, and can be found quickly with a chart","decently familiar. generally recognizable without a chart, and can be found quickly with a chart","not very familiar, can only recognize a few, but given a chart can recognize some",not familiar at all,somewhat familiar,no,no,2,1,4,seeing the sign visualization and being able to only identify parts of the sign,having to scroll through many options,"being able to sort by V, CV, VC, CVC, Sumerogram, etc. ",none,4,5,2,"being able to identify at least the first symbol, limiting some options",having to scroll through many pages and looking at many symbols squished together,If symbols were sorted by complexity (number of strokes),
AY1,Yes,1,,Can find quickly with a chart. Used to be able to recognize the most used signs,Not very familar,Not very familar,Not at all,Never used it,Yes,,2,2,4,using the syntax to build the signs,finding partial signs system seems to struggle with those a bit,,doesn't always do well with only parts of a sign entered,4,5,3,finding the sign number page after locating the sign ,Looking through the list of signs,A way to type the sign number in to search the PDF,
CY1,Yes,1,No,"I am very familiar with V, CV, and VC signs and can accurately recognize them without a chart. I am also familiar with the locations of these signs and how to find them on a chart.","I am familiar with all of the CVC signs, but I don't have the same level of confidence with memorization, although I do have a fair amount of them memorized.","I am fairly familiar with logograms, but as with the CVC a chart is fairly helpful and I know how to find them quickly given a chart.",I am familiar with the sign list in the back of our textbook from this semester's class which I honestly prefer using rather than the chart handouts. I find them relatively easy to navigate in general.,Not familiar at all.,No,No other experience or concerns.,1,1,4,It was helpful to be able to enter the parts of the signs that could be identified (especially when there was damage in the autograph). It narrowed the search down enough (~10-40 signs) so that the options could be scrolled through quickly.,"Sometimes there were a lot of given options when only part of the sign was entered, especially if it was a relatively simple sign or not many strokes could be identified.","I would have liked images in the system to be actual autographs rather than computer generated. I get for identification purposes, computer generated results are needed but if the images from the textbook could be alongside the options, that would be very helpful.","In general this system was much easier to use than the textbook, and I like how you don't have to code the exact sign to yield possible results, which helps with signs that are not completely identifiable due to damage.",2,3,3,"Similar signs were located near each other, so if certain strokes were hard to identify in the image, I could compare possibilities from the textbook to find the most accurate. This was especially helpful for the autographs that had damage or were missing part of the sign.","There were so many signs in the list it was sometimes difficult to locate the sign quickly, even when I knew almost exactly what I was looking for.","I liked how the book was organized by the leftmost stroke(s) but I wish it were more clear how the signs were organized after that. I caught on to some of the patterns, but it did take a while.","This system definitely works, but I think the main issue is that it is so time consuming. To identify signs by looking at a textbook, I think this is about as efficient as we can hope for."
