"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"AX3",122.018,"S","S1",0,0,"0_ance","ANSZE",1
"AX3",67.656,"S","S1",1,1,"0_gir4","gir4",1
"AX3",189.653,"S","S1",2,2,"2_lugal","lugal",1
"AX3",140.535,"S","E1",0,5,"0_sig2+munus","eren",0
"AX3",91.999,"S","E1",1,8,"1_tur","ka2",0
"AX3",227.875,"S","E1",2,11,"2_gir3","tab",0
"AX3",35.475,"S","E1",3,9,"2_dugud","mi",1
"AX3",11.14,"S","E1",4,12,"2_nag","ra",0
"AX3",36.566,"S","E1",5,14,"3_sa5","kal",1
"AX3",56.472,"S","E1",6,10,"2_gada","hu",0
"AX3",127.15,"S","E1",7,1,"0_gur","gur",1
"AX3",71.202,"S","E1",8,3,"0_kiri6","kiri6",1
"AX3",9.877,"S","E1",9,13,"3_mac2","ti",1
"AX3",80.333,"S","E1",10,15,"4_6","sila",0
"AX3",185.676,"S","E1",11,2,"0_kac4","egir",0
"AX3",56.177,"S","E1",12,7,"1_gag","ni",1
"AX3",7.664,"S","E1",13,6,"0_ziz2","asz2",1
"AX3",86.559,"S","E1",14,4,"0_nita2","ir3",1
"AX3",107.698,"S","E1",15,0,"0_cudun3","balag",0
"AX3",159.876,"Z","S2",0,0,"0_ejir","szim",0
"AX3",154.487,"Z","S2",1,1,"0_ku7","ka",0
"AX3",100.967,"Z","S2",2,2,"2_siskur","siskur",1
"AX3",139.225,"Z","E2",0,4,"0_pu2","isz",0
"AX3",164.425,"Z","E2",1,13,"3_inanna","szi",0
"AX3",155.183,"Z","E2",2,1,"0_dam","il",0
"AX3",130.286,"Z","E2",3,5,"0_sanga","tur3",0
"AX3",232.069,"Z","E2",4,7,"1_ama","uszxan",0
"AX3",109.035,"Z","E2",5,11,"2_gig","ugu",0
"AX3",45.571,"Z","E2",6,10,"2_duh","duh",1
"AX3",67.994,"Z","E2",7,2,"0_hub","ri",0
"AX3",58.099,"Z","E2",8,0,"0_ca3","sza3",1
"AX3",73.194,"Z","E2",9,15,"4_tu7","sum",0
"AX3",7.134,"Z","E2",10,3,"0_kid","u2",1
"AX3",68.142,"Z","E2",11,12,"2_urudu","ab",1
"AX3",72.891,"Z","E2",12,6,"0_sipa","sipad",1
"AX3",9.47,"Z","E2",13,8,"1_gal","gal",1
"AX3",46.366,"Z","E2",14,9,"2_alam","ne",1
"AX3",15.067,"Z","E2",15,14,"3_sir3","ka",1
