"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"AY2",199.5,"Z","S1",0,0,"0_ance","ANCE",1
"AY2",187.119,"Z","S1",1,1,"0_gir4","GIR4",1
"AY2",146.857,"Z","S1",2,2,"2_lugal","CUM",0
"AY2",225.982,"Z","E2",0,5,"0_sanga","SANGA",1
"AY2",418.537,"Z","E2",1,6,"0_sipa","SIPA",1
"AY2",718.749,"Z","E2",2,2,"0_hub","RI",0
"AY2",162.675,"Z","E2",3,11,"2_gig","GIG",1
"AY2",147.539,"Z","E2",4,4,"0_pu2","NITA",1
"AY2",168.626,"Z","E2",5,15,"4_tu7","DU10",0
"AY2",107.174,"Z","E2",6,12,"2_urudu","UM",1
"AY2",370.872,"Z","E2",7,3,"0_kid","UGA",1
"AY2",263.017,"Z","E2",8,9,"2_alam","ALAM",1
"AY2",368.538,"Z","E2",9,7,"1_ama","AMA",1
"AY2",68.904,"Z","E2",10,0,"0_ca3","TIBULA",1
"AY2",147.135,"Z","E2",11,10,"2_duh","GAB",1
"AY2",899.697,"Z","E2",12,14,"3_sir3","EME",1
"AY2",38.862,"Z","E2",13,8,"1_gal","GAL",1
"AY2",129.258,"Z","E2",14,1,"0_dam","DAM",1
"AY2",213.513,"Z","E2",15,13,"3_inanna","SAGI",0
"AY2",69.866,"S","S2",0,0,"0_ejir","EGIR",1
"AY2",49.8,"S","S2",1,1,"0_ku7","AL",1
"AY2",227.889,"S","S2",2,2,"2_siskur","SISKUR",1
"AY2",31.059,"S","E1",0,1,"0_gur","GUR",1
"AY2",34.714,"S","E1",1,4,"0_nita2","ARAD",1
"AY2",276.847,"S","E1",2,7,"1_gag","GAG",1
"AY2",31.988,"S","E1",3,9,"2_dugud","GI6",1
"AY2",23.282,"S","E1",4,13,"3_mac2","TI",1
"AY2",35.693,"S","E1",5,3,"0_kiri6","SAR",1
"AY2",26.044,"S","E1",6,6,"0_ziz2","ZÍZ",1
"AY2",190.284,"S","E1",7,12,"2_nag","GEŠTIN",0
"AY2",40.526,"S","E1",8,11,"2_gir3","GÌR",1
"AY2",60.641,"S","E1",9,15,"4_6","LIŠ",0
"AY2",71.639,"S","E1",10,10,"2_gada","GA",0
"AY2",586.351,"S","E1",11,0,"0_cudun3","DÀRA",0
"AY2",111.4,"S","E1",12,8,"1_tur","ŠU+NÍGIN",1
"AY2",37.36,"S","E1",13,5,"0_sig2+munus","SÍG+MUNUS",1
"AY2",195.716,"S","E1",14,2,"0_kac4","MAŠKIM",0
"AY2",80.015,"S","E1",15,14,"3_sa5","SA5",1
