"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"BX1",94.79,"H","S1",0,0,"0_ance","ANŠE",1
"BX1",151.125,"H","S1",1,1,"0_gir4","GIR₄",1
"BX1",410.585,"H","S1",2,2,"2_lugal","LÚ",0
"BX1",134.571,"H","E2",0,10,"2_duh","PAN",0
"BX1",95.602,"H","E2",1,4,"0_pu2","GÍGIR",1
"BX1",154.305,"H","E2",2,11,"2_gig","GIG",1
"BX1",112.932,"H","E2",3,2,"0_hub","RI",0
"BX1",110.789,"H","E2",4,12,"2_urudu","DUB",1
"BX1",607.549,"H","E2",5,15,"4_tu7","NIMIN/NIN₅",0
"BX1",117.865,"H","E2",6,6,"0_sipa","SIPA(D)",1
"BX1",72.648,"H","E2",7,8,"1_gal","KISAL",0
"BX1",137.195,"H","E2",8,5,"0_sanga","SANGA",1
"BX1",541.87,"H","E2",9,7,"1_ama","ŠAB",0
"BX1",186.738,"H","E2",10,13,"3_inanna","IGI",0
"BX1",79.159,"H","E2",11,3,"0_kid","LÍL",1
"BX1",206.054,"H","E2",12,1,"0_dam","ÉN",0
"BX1",127.857,"H","E2",13,9,"2_alam","ALAM/ALAN",1
"BX1",342.005,"H","E2",14,0,"0_ca3","SIG",0
"BX1",112.086,"H","E2",15,14,"3_sir3","KIR₄",1
"BX1",539.826,"Z","S2",0,0,"0_ejir","ME3",0
"BX1",102.108,"Z","S2",1,1,"0_ku7","AG",0
"BX1",739.87,"Z","S2",2,2,"2_siskur","MUN",0
"BX1",163.955,"Z","E3",0,8,"1_iku","GA2N",1
"BX1",445.168,"Z","E3",1,9,"2_dug","AMARxKU6",0
"BX1",227.535,"Z","E3",2,15,"4_dub","AN",1
"BX1",278.638,"Z","E3",3,6,"0_zu9","BALAG",0
"BX1",399.444,"Z","E3",4,2,"0_ezen4","GAR5",0
"BX1",202.949,"Z","E3",5,12,"2_mec","U3CU",1
"BX1",207.351,"Z","E3",6,3,"0_gu4","UZ6",0
"BX1",42.352,"Z","E3",7,13,"3_sag","GAD",0
"BX1",90.225,"Z","E3",8,5,"0_sa","SA5",0
"BX1",228.344,"Z","E3",9,4,"0_hur","A3R",1
"BX1",109.195,"Z","E3",10,0,"0_bal","BAL",1
"BX1",93.972,"Z","E3",11,7,"1_2","MIN",1
"BX1",312.06,"Z","E3",12,10,"2_e2","IA2",0
"BX1",88.868,"Z","E3",13,11,"2_lal3","AM",1
"BX1",187.064,"Z","E3",14,1,"0_elam","SA2",0
"BX1",84.026,"Z","E3",15,14,"3_zag","CUM",0
