"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"BY3",219.343,"Z","S1",0,0,"0_ance","ANŠE",1
"BY3",73.064,"Z","S1",1,1,"0_gir4","GIR4",1
"BY3",36.576,"Z","S1",2,2,"2_lugal","LUGAL",1
"BY3",283.818,"Z","E3",0,13,"3_sag","sblsn,s ak",1
"BY3",523.918,"Z","E3",1,14,"3_zag","ZAG",1
"BY3",14.783,"Z","E3",2,10,"2_e2","É",1
"BY3",12.508,"Z","E3",3,15,"4_dub","GIŠ",1
"BY3",99.377,"Z","E3",4,6,"0_zu9","ZU9",1
"BY3",62.661,"Z","E3",5,3,"0_gu4","GU4",1
"BY3",35.969,"Z","E3",6,12,"2_mec","[M]EŠ",1
"BY3",54.773,"Z","E3",7,7,"1_2","GÍN",1
"BY3",68.728,"Z","E3",8,1,"0_elam","ELAM",1
"BY3",111.62,"Z","E3",9,11,"2_lal3","ŠA",1
"BY3",70.196,"Z","E3",10,2,"0_ezen4","EZEN4",1
"BY3",309.621,"Z","E3",11,9,"2_dug","ŠEŠ",0
"BY3",193.926,"Z","E3",12,5,"0_sa","SUKKAL?/É?",1
"BY3",57.071,"Z","E3",13,0,"0_bal","BAL",1
"BY3",54.796,"Z","E3",14,4,"0_hur","ḪUR",1
"BY3",84.019,"Z","E3",15,8,"1_iku","IKU",1
"BY3",247.005,"S","S2",0,0,"0_ejir","EGIR",1
"BY3",66.204,"S","S2",1,1,"0_ku7","KU7",1
"BY3",235.429,"S","S2",2,2,"2_siskur","siskur",1
"BY3",56.585,"S","E2",0,15,"4_tu7","UZU",1
"BY3",107.454,"S","E2",1,9,"2_alam","ne",1
"BY3",101.012,"S","E2",2,12,"2_urudu","AB",1
"BY3",232.779,"S","E2",3,10,"2_duh","AM",1
"BY3",56.039,"S","E2",4,8,"1_gal","GAL",1
"BY3",249.849,"S","E2",5,13,"3_inanna","apin?",1
"BY3",108.103,"S","E2",6,2,"0_hub","TA",0
"BY3",121.394,"S","E2",7,11,"2_gig","GIG",1
"BY3",38.777,"S","E2",8,6,"0_sipa","sipa",1
"BY3",41.585,"S","E2",9,0,"0_ca3","ŠÀ",1
"BY3",36.817,"S","E2",10,4,"0_pu2","PÚ",1
"BY3",257.195,"S","E2",11,7,"1_ama","DAGAL",1
"BY3",68.275,"S","E2",12,5,"0_sanga","SANGA",1
"BY3",137.893,"S","E2",13,3,"0_kid","kit",1
"BY3",202.032,"S","E2",14,14,"3_sir3","ka",1
"BY3",107.524,"S","E2",15,1,"0_dam","DAM",1
