"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"CX2",114.089,"S","S1",0,0,"0_ance","ANCE",1
"CX2",111.394,"S","S1",1,1,"0_gir4","GIR4",1
"CX2",118.714,"S","S1",2,2,"2_lugal","cum",0
"CX2",242.939,"S","E3",0,2,"0_ezen4","ak",0
"CX2",52.247,"S","E3",1,5,"0_sa","SA",1
"CX2",114.786,"S","E3",2,13,"3_sag","GU4",0
"CX2",27.468,"S","E3",3,12,"2_mec","ec",1
"CX2",128.622,"S","E3",4,8,"1_iku","gan2",1
"CX2",58.386,"S","E3",5,15,"4_dub","ez",1
"CX2",42.742,"S","E3",6,3,"0_gu4","bi",1
"CX2",135.947,"S","E3",7,1,"0_elam","ELAM",1
"CX2",82.064,"S","E3",8,9,"2_dug","DUG",1
"CX2",50.796,"S","E3",9,4,"0_hur","HAR",1
"CX2",65.108,"S","E3",10,7,"1_2","MIN",1
"CX2",168.102,"S","E3",11,14,"3_zag","GIGIR",0
"CX2",250.701,"S","E3",12,0,"0_bal","ME3",0
"CX2",102.467,"S","E3",13,6,"0_zu9","ZU9",1
"CX2",44.456,"S","E3",14,11,"2_lal3","bi",1
"CX2",118.652,"S","E3",15,10,"2_e2","E2",1
"CX2",177.425,"Z","S2",0,0,"0_ejir","SIxSA2",0
"CX2",181.106,"Z","S2",1,1,"0_ku7","KU7",1
"CX2",139.67,"Z","S2",2,2,"2_siskur","GAZ",1
"CX2",60.744,"Z","E1",0,9,"2_dugud","GE6",1
"CX2",123.971,"Z","E1",1,15,"4_6","LA5",1
"CX2",201.244,"Z","E1",2,7,"1_gag","IGI3",0
"CX2",228.362,"Z","E1",3,0,"0_cudun3","UGU",0
"CX2",68.871,"Z","E1",4,4,"0_nita2","ARAD",1
"CX2",66,"Z","E1",5,8,"1_tur","DUMU",1
"CX2",97.445,"Z","E1",6,13,"3_mac2","GAD",1
"CX2",225.806,"Z","E1",7,5,"0_sig2+munus","SI2G+MUNUS",1
"CX2",87.466,"Z","E1",8,2,"0_kac4","KAC4",1
"CX2",75.876,"Z","E1",9,3,"0_kiri6","KIRI6",1
"CX2",115.489,"Z","E1",10,10,"2_gada","GAD",1
"CX2",222.879,"Z","E1",11,14,"3_sa5","DIRI",1
"CX2",48.151,"Z","E1",12,6,"0_ziz2","A2C",1
"CX2",53.836,"Z","E1",13,1,"0_gur","GUR",1
"CX2",55.43,"Z","E1",14,11,"2_gir3","GI3R",1
"CX2",214.563,"Z","E1",15,12,"2_nag","GECTIN",0
